Region_ID,Time_Period,Renewable_Capacity_Added_MW,Total_Energy_Demand_MWh,Coal_Power_Generation_MWh,Carbon_Emission_tCO2,Transmission_Capacity_MW,Transmission_Completion_Rate,PSA_Signed,DISCOM_Debt_USD,AT_C_Loss_Percent,Land_Acquisition_Delay_Months,Renewable_Subsidy_USD,Coal_Subsidy_USD,Energy_Storage_Capacity_MW,Economic_Growth_Rate,Project_ID,Project_Completion_Status
IN-HR,2014-09,497.89,8841285,2267266,48806382,49677,78.75906202046566,1,269094383,27.64834656538647,19.0,39511919,24028117,7344.0,12.78,,
IN-TN,2010-08,28.56,5159988,4374847,10881737,28388,96.54766470332876,1,711218548,4.240887929231063,5.0,79783483,468136738,8368.0,12.62,,
IN-PB,2025-02,1485.6,3802423,1515662,22344165,6332,39.30379577599544,0,890419165,38.59641497409865,31.0,7049717,499508091,3277.0,-0.13,,
IN-UT,2020-06,432.12,3581925,4915339,34169345,44436,37.862433056179725,0,227115818,11.054977270191596,18.0,19009997,463548698,1802.0,0.63,,
IN-JH,2013-08,36.34,1241039,1566490,9493035,42258,65.73041901247348,0,936065070,20.01235252655632,0.0,72530259,192168207,5409.0,-0.31,,
IN-JH,2019-10,868.28,3619544,2588664,11618530,21669,65.71078837606723,0,884881410,40.52646272164059,,14790559,44482198,3583.0,14.81,,
IN-MN,2018-02,212.66,8371503,2898403,1172200,37452,74.2121855331095,0,541626305,47.32509698983701,,20456527,175684936,5548.0,8.57,,
IN-OR,2012-12,23.01,5452804,4155381,10353606,1107,33.48262747259724,0,565304476,14.417142788415482,3.0,94235349,399431914,,13.63,,
IN-TR,2018-05,0.0,9653654,101029,30930566,49532,96.10785056657757,1,916243368,17.276397532266497,33.0,14490799,213615982,9398.0,6.21,,
IN-JK,2025-05,172.65,7411025,4867631,49262794,34925,53.04168754617715,0,994369644,46.18771845187472,5.0,22507437,248973277,2096.0,13.74,,
IN-WB,2015-07,7.09,148072,1509597,17323005,12207,26.8537779987015,1,290256055,,,87798417,5330270,9056.0,9.38,,
IN-TR,2015-07,6.57,1720984,305402,35808666,25217,56.88443355035647,0,145483302,5.167886147652412,,20651034,211197254,,11.96,,
IN-MP,2015-04,0.35,8466343,4013197,47257114,5084,40.446408123032384,1,497392101,38.72817703258819,,83140279,171751732,3325.0,14.95,,
IN-SK,2011-08,439.38,9660992,2283841,11387461,42389,5.188409863626598,1,900987439,9.606096546492166,,27466955,270996604,9172.0,14.4,,
IN-RJ,2019-10,0.0,5382353,3267996,42829479,133,96.33179922642037,0,677763538,30.289938642927396,26.0,78031426,447204456,9143.0,8.39,,
IN-RJ,2021-01,167.37,6806858,4555869,42234800,2065,66.15951546281813,1,255390817,7.52259028012614,20.0,74961103,221156495,4498.0,-3.68,,
IN-TN,2011-04,0.0,6704052,406560,11519568,34325,,0,672345667,35.855460894641695,5.0,47651345,68042599,,11.26,,
IN-GJ,2021-05,0.0,5790845,361265,27047996,39313,60.40980704105257,0,322212308,16.60335684316867,21.0,62566508,291687510,7039.0,2.09,,
IN-WB,2023-05,43.33,520606,4996601,1294428,20156,13.560398765618709,0,219316885,4.644005047320671,31.0,74745861,53466172,8015.0,12.87,,
IN-TS,2012-11,87.6,6876784,4652182,47720050,38154,,1,29321855,10.397925597836755,4.0,37202994,447835536,,-2.24,,
IN-CH,2018-01,0.0,362516,3571199,48254223,49007,,1,723127613,6.0252218781101705,,18317738,480235673,4054.0,6.8,,
IN-JK,2012-06,195.11,3526808,1433530,19830618,19671,30.162126326210814,1,536334183,34.87467824336699,34.0,87510194,179477655,9102.0,3.12,,
IN-TR,2017-04,0.0,9695554,3304633,9988921,6391,2.174208346538564,0,25132607,13.828277553055873,26.0,14734804,431896276,4874.0,-1.99,,
IN-LD,2021-07,0.0,2830005,632254,30996966,17527,0.7318591052467682,1,458658148,18.443665912240974,19.0,22336057,335588448,7739.0,6.99,,
IN-BR,2023-03,199.92,6023106,1280061,16397555,4720,50.70796195811958,1,794851556,21.277645062238665,35.0,78057094,122242835,1351.0,0.38,,
IN-OR,2022-07,0.0,7189161,3569003,22590029,22993,7.585315263105807,1,424980217,47.64296958229197,29.0,27333969,426645695,4690.0,0.68,,
IN-UP,2021-04,215.7,5969263,2963622,31087556,4557,90.03788609745983,1,303098731,39.301141252667286,31.0,55601071,257992339,3505.0,10.07,,
IN-AS,2015-12,6.81,9547907,528245,34042383,6087,65.26700437564796,1,473171434,4.142081299791778,15.0,67714438,454078113,,0.88,,
IN-NL,2015-02,39.1,6545740,3703252,29525100,45762,,0,225877130,12.973481247457535,14.0,77991380,458266739,4705.0,5.38,,
IN-AN,2023-12,830.08,4136887,2059078,31166265,22057,15.320826355778328,1,396687437,25.65988822743061,,75328756,400093457,3849.0,8.57,,
IN-BR,2025-08,38.85,9154234,4485550,41767231,37762,94.20527219108295,1,732801797,45.52932373191658,15.0,16539144,214125987,8416.0,-4.4,,
IN-LD,2021-10,0.0,35950,3557576,8427869,27909,55.26440374656691,1,490990321,9.403636392971727,30.0,13287545,251849076,1065.0,4.66,,
IN-TR,2010-07,354.99,1599916,2818466,24645760,7423,84.35289461403286,1,649573610,6.124344599971487,6.0,54206007,385943690,9007.0,14.11,,
IN-LD,2014-04,1377.73,2613011,3031735,49331057,22043,72.91323456202655,1,734977207,31.063527697447167,11.0,12960929,255065462,6214.0,-4.16,,
IN-HR,2022-09,15.5,8885709,2717048,26999289,37776,3.8339040443673866,0,642764479,47.85267674786681,27.0,60286184,461936001,2242.0,7.87,,
IN-GJ,2022-06,35.75,8302182,4815677,3763908,13309,2.637445344212208,0,387474910,7.597784826134446,15.0,48434041,197690836,5272.0,11.99,,
IN-LA,2019-03,132.84,7444901,255944,4188274,20173,6.298582724042134,0,837538384,47.573052171404015,6.0,72450723,315645500,2553.0,5.4,,
IN-JH,2010-04,710.54,7447176,2330319,45094353,19319,35.15422802551599,1,154948787,27.495835890237032,8.0,42085160,305806724,829.0,6.95,,
IN-MN,2019-03,1228.63,3132129,3105184,24861856,29210,88.65512744622666,0,375076320,44.79290786860434,,30325231,54888027,6000.0,8.58,,
IN-PY,2021-03,4.39,1237532,4284246,43914536,34085,7.720433104705659,0,410258220,2.1725117954683624,4.0,76118840,6559751,7007.0,10.72,,
IN-KA,2013-04,73.05,1680937,4793,21055530,2704,71.72282044750159,1,154315550,,12.0,16549266,390419078,532.0,-2.28,,
IN-JH,2024-09,0.0,5377101,2756165,38013155,48814,54.95209553141013,1,757216728,39.7082415370251,26.0,52829760,442615195,5657.0,8.65,,
IN-AR,2010-03,24.57,2166804,2069334,1824069,48388,56.15066697194935,0,322241359,37.783969428651446,5.0,6422067,75904396,7481.0,7.28,,
IN-LD,2018-07,962.04,6229338,4018389,24077460,8530,,1,350128142,21.99634521735345,,31495687,53799657,9235.0,-0.45,,
IN-LD,2013-05,561.7,3639057,1161887,38050677,30272,17.757395241638786,0,661241629,0.603469618356961,16.0,93416345,299899306,,6.12,,
IN-RJ,2019-07,62.9,4562953,1297828,36448930,46700,93.60719293416754,1,861498948,37.2527720035066,10.0,88513354,310877490,3672.0,2.27,,
IN-HP,2023-05,0.0,4840648,3751915,9888939,40487,77.72623461686503,1,355711570,24.783384904638595,14.0,90362879,478083037,9403.0,4.96,,
IN-CH,2017-09,376.72,1198384,686856,23245513,14609,87.30283848503045,0,513815674,23.374299583031505,10.0,76513378,439279670,6315.0,7.26,,
IN-LD,2025-11,271.03,724267,4954320,39973862,35750,14.275862986102162,1,185891881,2.7013383274072322,22.0,51329825,171058047,6999.0,2.25,,
IN-UT,2022-05,0.0,2540681,3977162,45134451,34645,29.07078553858109,0,158890191,4.319729519304366,20.0,62838813,310717639,9217.0,14.03,,
IN-JH,2011-10,0.0,897144,3680247,28401352,7378,2.9965531980484905,1,129358700,36.18538493064358,9.0,16973278,347979589,4430.0,11.93,,
IN-GJ,2012-11,0.0,7170350,1076852,46120479,49366,13.378656786066767,1,688432698,11.408013122708876,28.0,17060246,76422897,4442.0,5.96,,
IN-JK,2022-10,291.67,3207618,4821389,24386373,34570,3.8769984583758133,0,524406268,49.84508711016051,16.0,61934098,252788340,8520.0,5.22,,
IN-BR,2016-01,0.0,6808397,4116171,4416460,30890,,1,827331399,22.35008842811308,16.0,61438627,186610881,1019.0,7.86,,
IN-MN,2017-10,0.0,8821899,2193594,15184923,6781,72.86152256840688,1,79252456,44.92010608429724,16.0,35416326,372327829,5208.0,8.71,,
IN-UT,2014-03,65.78,9147204,2367138,26553015,18865,61.416584709828335,1,652397583,0.09524882682090396,6.0,90403458,308953251,2156.0,9.97,,
IN-BR,2014-04,64.7,6200620,4747675,16356026,17830,23.96390271129767,0,676609651,14.525197896046988,18.0,96143601,485783427,2899.0,12.15,,
IN-UT,2015-04,0.0,4577614,235889,23834899,1901,,1,592234403,46.527841055751814,12.0,45590000,207091038,4576.0,-3.69,,
IN-AR,2016-02,613.78,7312661,4288430,10365094,49770,17.906519064947346,1,230273700,49.73035988208968,,7478588,422290216,,-0.96,,
IN-KL,2025-12,53.54,8357599,387743,3139684,19373,91.59771327798705,0,414926264,33.24570017345257,,52959744,322281930,1790.0,14.79,,
IN-MZ,2015-09,32.1,1788587,2360344,44930864,27442,33.63560821872529,0,893558632,3.3690869694083636,3.0,73412756,53910831,,-2.66,,
IN-KL,2025-06,0.0,3179468,4086661,41599674,609,44.856377687666395,1,709478842,13.23330960566967,20.0,32189581,498217652,2563.0,-2.96,,
IN-SK,2011-12,286.11,6507141,1059237,6720811,26768,70.48102500514638,1,30343848,36.64176716222433,30.0,1016149,27482397,8396.0,7.21,,
IN-OR,2019-05,0.0,1477312,2670728,41855453,11458,72.18939079609902,1,502581508,49.832588996973335,13.0,88912287,11512502,864.0,-0.44,,
IN-NL,2018-07,825.92,4462213,3089063,30899271,327,99.43757156856535,1,539242116,41.679963885337344,29.0,35663262,436462275,9707.0,-2.82,,
IN-WB,2012-04,212.12,9442278,1105296,46575828,46382,38.48918115802281,1,892085463,16.97151783419828,20.0,40483665,340307036,8647.0,-2.54,,
IN-UT,2018-07,5.89,8810096,3379546,7091416,6229,42.608603771815,0,969955122,25.786702252692617,,35144847,366092668,4775.0,7.78,,
IN-UP,2010-02,0.0,3939821,3376420,24902906,21593,22.220307153684693,1,946137588,14.037472854360722,29.0,13666773,340213505,,5.74,,
IN-RJ,2016-03,0.0,6280468,4188795,34308505,16049,,1,20499089,24.68506348720464,5.0,44690948,124362447,6641.0,3.73,,
IN-JH,2012-11,162.1,7052144,4708504,43021289,38047,66.96172085207722,0,716205244,33.02611540060389,12.0,71530231,406117778,2799.0,3.15,,
IN-UP,2011-10,366.84,7875267,4000300,35081043,20121,58.60007011628223,0,696919516,16.505973125458095,3.0,36801872,442468233,956.0,-1.64,,
IN-LA,2011-10,0.0,1211927,759605,4591110,31107,39.33428078849575,1,457503978,23.86994661181153,26.0,13179074,63608845,2853.0,3.94,,
IN-GA,2013-07,455.09,9324629,4208506,14273887,14030,90.86598794171124,0,212158295,20.678619306210923,18.0,4131959,441107231,770.0,14.16,,
IN-CT,2024-05,1469.2,2002905,1859660,42148998,19615,83.6642526439989,1,1052624,14.103458392537394,7.0,94253530,439567712,8642.0,3.99,,
IN-LD,2020-12,942.53,8144371,3895041,17399214,38357,64.43806882928561,1,215470630,,17.0,60214324,499178695,2922.0,8.09,,
IN-UT,2025-01,364.28,8435219,248778,35371269,21823,82.39588056851078,0,959380368,44.43893431571363,22.0,39760018,314818356,7188.0,14.69,,
IN-MH,2018-04,0.0,2167835,3747451,7810326,30672,19.72637336121177,1,980776569,,20.0,3577562,201027564,206.0,9.35,,
IN-UT,2013-11,0.0,9107637,1645427,14509153,48097,60.98997169716805,0,818368276,,27.0,58084028,234495791,,12.82,,
IN-WB,2011-05,0.0,6518103,4289913,38579839,3341,80.1960801931985,1,730888958,27.837361122087422,27.0,16282487,257249403,3009.0,-0.34,,
IN-SK,2011-05,0.0,9639994,4336905,17803830,22374,22.845357603878902,0,247546778,21.710303825696776,35.0,51900972,322901741,9578.0,-0.84,,
IN-MH,2024-01,0.0,7363065,2037559,16178508,41238,39.14504456063956,0,427576377,33.76753697419823,28.0,25595498,144331366,1167.0,2.71,,
IN-HR,2024-02,42.11,1743952,1033696,45303509,11018,43.083443267429686,1,359297310,25.07910399769317,5.0,57417203,156775677,4604.0,12.35,,
IN-JK,2018-12,195.77,777305,4184315,27856640,5296,54.32871207590764,1,695395225,27.22657505481152,31.0,50765056,350805585,2759.0,6.96,,
IN-DL,2025-11,0.0,2559437,3204580,9150995,14275,53.86412447967497,0,723313470,24.729633477677858,29.0,95714801,254024203,6627.0,10.43,,
IN-AR,2010-04,196.1,1131729,719612,13128167,46181,42.20686330065616,1,220870489,38.93906388121525,,99199397,57243185,,-0.95,,
IN-PB,2024-12,25.75,4749781,2995161,45219437,39977,99.44275661322649,1,746491494,20.832606834695156,17.0,56476382,36376354,58.0,1.74,,
IN-PB,2023-06,14.6,1979222,448903,14792339,43533,46.73869305930681,0,194692695,16.747205492162394,4.0,43337404,436998277,2234.0,5.83,,
IN-UP,2024-09,0.0,8352801,4352533,4612945,26634,71.29628676136936,1,75112918,,23.0,90425214,69932541,7525.0,8.7,,
IN-HP,2018-01,0.0,6842989,1184777,15657296,1537,32.800047121965505,0,950361114,11.360787133128241,25.0,70487116,102171966,755.0,6.93,,
IN-PB,2010-05,103.15,7935773,2486388,21242223,15650,82.81840476276943,0,386612570,35.80245221783775,,18254488,147050113,,-2.3,,
IN-LD,2014-10,11.55,5391793,1102784,48518654,4376,3.6077726215056005,0,788462004,36.618789911930826,19.0,41684719,255002701,8029.0,-2.42,,
IN-TR,2014-06,89.88,6205392,3743033,28302605,38145,89.31258023070463,0,355011424,18.226813680932796,2.0,86042315,73691251,9690.0,14.99,,
IN-CH,2022-01,243.14,6670250,4524600,44887275,28559,93.45379663992803,1,61315601,,10.0,27913307,413759566,6578.0,7.69,,
IN-HR,2024-06,0.0,8273884,430934,15824634,49720,66.84523017876656,0,656420288,42.98085492619893,30.0,93369578,242826922,1892.0,12.13,,
IN-HP,2013-07,0.0,9734998,2538851,2991003,21624,44.991630167336474,1,188555903,1.7968791295483955,12.0,56127838,335444311,8373.0,11.56,,
IN-TN,2015-01,561.74,987779,3181144,22246745,1325,5.137324650919773,1,592078177,12.40370876040381,29.0,16778095,246229744,4864.0,-4.87,,
IN-TS,2016-02,0.0,9721741,415917,9861407,32340,64.41907043660194,1,153797543,32.528852316792374,4.0,86134116,381116999,1384.0,-2.89,,
IN-BR,2025-09,69.52,4269103,3785163,13627835,6169,15.366198817258036,1,48805901,36.104556979285704,18.0,80365577,248170145,623.0,5.44,,
IN-RJ,2012-10,103.77,8547187,3834746,44592025,43068,,0,745529459,,22.0,41769892,152651957,8740.0,1.63,,
IN-AP,2011-12,153.13,1322546,2911434,22397410,14602,36.51285947897536,1,164452852,48.5241075200991,15.0,45452528,487529777,8429.0,14.52,,
IN-MN,2015-10,25.25,4777807,1756272,1868925,40239,,0,573880462,17.253228607988586,,64233694,14097231,,3.07,,
IN-UT,2025-07,148.73,3620338,738584,39589346,45241,44.99859990309296,0,391869457,31.934074270658254,16.0,3306918,282778118,2859.0,3.23,,
IN-AR,2022-07,199.02,545095,3236152,21375647,32666,,0,316630365,,11.0,87355835,388736756,5062.0,1.98,,
IN-MN,2011-04,729.28,979103,4843074,22538654,28968,5.535172949943201,0,639919152,39.1272416212532,21.0,78757271,32594786,1985.0,-3.96,,
IN-WB,2022-06,57.57,6065698,586852,4083798,5103,21.479829043725886,0,642094353,3.483518455856627,3.0,28508603,400828267,3492.0,9.31,,
IN-TS,2015-09,0.0,3844094,728540,42351308,29327,,1,338614040,,13.0,93308998,476942829,2924.0,3.9,,
IN-UT,2021-02,222.4,9345222,4463994,38389888,17979,41.11043777216692,1,238659254,41.53786202085328,4.0,44377850,409964045,5281.0,3.99,,
IN-MZ,2018-05,292.97,8081884,1453107,29222950,36042,53.83862445814101,1,488883882,21.86633339602967,15.0,22755996,87604682,3806.0,4.26,,
IN-MZ,2025-01,150.69,6545350,2317188,48302850,10677,40.554460060865914,1,763460419,4.927670160132147,2.0,58475879,422950923,41.0,-4.02,,
IN-CT,2013-01,0.0,4881331,1778673,29456270,44380,1.0496030477085472,1,531634848,34.534465456030674,20.0,36510408,445066105,9586.0,-2.12,,
IN-WB,2012-03,77.54,8328555,3246449,10385394,47105,4.556788755457763,0,375090195,19.56996187592773,1.0,21840173,280797094,8281.0,3.63,,
IN-UP,2018-12,722.91,8748083,4894963,22263392,10805,60.292233227094435,1,272995909,15.827687917668271,21.0,21300307,105431362,7132.0,14.35,,
IN-CT,2011-10,394.35,2668977,4829892,19302733,47373,61.90891564877013,0,526221294,3.681917098231718,,54101724,205728951,,2.67,,
IN-AS,2020-01,130.96,9022759,348775,7279993,4714,87.04552679512209,1,706889263,38.014340005050684,,86328334,150075520,615.0,10.23,,
IN-JK,2020-09,43.98,7075133,1371929,27771584,39104,,1,927121978,8.525167023349573,3.0,90987351,493944889,1704.0,13.39,,
IN-WB,2019-06,308.76,2040752,2819552,9702996,35455,98.45996859411727,0,17685974,44.52679775146076,24.0,45127989,87343927,142.0,3.01,,
IN-AS,2020-08,0.0,6091312,2791920,39750378,40608,11.250698883419396,0,15788908,25.38939664784442,,53728837,308542185,3137.0,0.12,,
IN-PB,2010-07,1040.54,390671,2387378,43149047,9181,44.581931424390085,1,622498776,28.69498377121874,14.0,70694503,266114961,,8.23,,
IN-NL,2010-06,97.63,6718583,3043012,40877798,2637,44.76599674993126,1,838545270,4.994712463864897,,20239814,484200105,5804.0,1.98,,
IN-ML,2011-10,111.17,5557760,2608199,47877067,26154,1.6414928977892762,0,64275801,42.29337501855849,22.0,3199252,375427305,8828.0,13.46,,
IN-JK,2017-03,0.0,8464148,3067447,47200934,45220,1.2042607131416028,1,428763485,44.986824709978706,35.0,95521992,118076140,8778.0,9.43,,
IN-UT,2013-08,64.19,8074230,4129092,4682574,18991,15.934423212838311,0,782976747,34.66668539495951,32.0,48824761,45570436,668.0,-3.9,,
IN-UP,2023-12,0.0,5288286,344521,42982260,35249,0.2867512164357655,1,448869571,,33.0,24756486,374318848,1468.0,12.39,,
IN-LD,2021-06,227.83,6374814,2544330,48764265,49643,12.786053954096843,0,397783102,45.738522502573645,12.0,96838513,378150013,2297.0,12.65,,
IN-NL,2017-06,128.47,4711183,4294177,6048508,34249,42.977655559138384,1,803007275,43.26121401686136,4.0,52587274,138046190,2156.0,-0.88,,
IN-UP,2025-06,357.99,7702676,4047162,32013352,30561,,1,51958355,27.391231777249907,,97126719,177791475,4444.0,8.01,,
IN-AR,2021-06,0.0,7342538,4279943,38924708,16629,,1,517132416,,5.0,69774117,369816226,2813.0,11.88,,
IN-PY,2011-09,223.37,7257611,4409895,38149031,37620,6.411070391096252,0,616486952,0.5930024298747949,26.0,77597192,339548844,,3.13,,
IN-PY,2013-04,13.1,5126486,807591,43933301,7403,27.065100564607512,0,965857803,49.978141651389215,30.0,73429712,271527263,,5.58,,
IN-MN,2018-10,342.21,2882700,3869276,44446885,34901,93.62133830249542,1,282609800,45.22776112135789,,28978761,303864490,7743.0,13.38,,
IN-BR,2014-06,0.0,9754747,147713,25575883,4851,3.281473764948528,1,547848806,41.50496709423865,2.0,79480333,304061677,6880.0,-1.49,,
IN-AN,2023-09,512.01,7959697,246404,34300434,20488,53.954713661065114,1,891920013,12.391734279745659,9.0,54687358,1474231,8426.0,7.96,,
IN-MH,2020-01,0.0,3493344,1631457,48089586,33360,51.15300169286482,0,224763034,32.60306820506288,22.0,36974974,492261207,6707.0,4.84,,
IN-KA,2021-07,73.15,4128521,2979813,3671029,20569,,1,317550849,28.114685806246875,8.0,25939206,51996533,145.0,12.44,,
IN-GJ,2020-10,180.0,627749,4719520,48004805,48542,73.26476566220899,0,520866470,37.23091022426175,7.0,74827142,409584922,446.0,-0.95,,
IN-MH,2010-11,0.0,3996631,2787337,5677200,29289,88.86194384198338,1,25075972,38.466347376952264,5.0,91564435,226280332,8179.0,12.54,,
IN-PY,2015-05,416.78,7157336,901409,1501937,7910,34.3091603233517,1,464420511,4.934564078353054,3.0,73867571,220683069,3781.0,-4.46,,
IN-MP,2020-07,53.71,5386770,1205848,24187848,38373,31.48985884179334,1,121332631,39.55005177571089,16.0,14201245,122243953,8338.0,-3.72,,
